,0
0,外滩 日式 民俗 风 23 楼 江景 榻榻米 公寓 步行 五分钟 到 外滩 自助 入住 靠近 城隍庙 南京路 步行街 东方明珠
1,衡复 文化区 1 号 复兴 路上 的 绝美 艺术 公寓
2,衡复 文化区 1 号 复兴 路上 的 绝美 艺术 公寓
3,roomnoname 📷 80 年代 复 古老 上海 风情 近 静安寺 愚园 路 蔦 屋 书店 江苏 路
4,roomnoname 📷 80 年代 复 古老 上海 风情 近 静安寺 愚园 路 蔦 屋 书店 江苏 路
5,江阙 紧邻 外滩 高层 复式 loft 限时 长租 特惠 北外滩 外滩 江景 投影 交通 便捷 近 地铁 1012
6,TheVisionontheBund 外滩 景观 房 与 东方明珠 隔 江相望 市级 优秀 保护 建筑
7,TheVisionontheBund 外滩 景观 房 与 东方明珠 隔 江相望 市级 优秀 保护 建筑
8,黄埔 2 号 复兴 路上 的 绝美 艺术 公寓
9,地铁站 附近 的 空调 小房间 双层床
10,鹿头舍 徐家汇 日式 禅境 民宿 徐家汇 地铁 191134 步行 5 分钟 直达 迪斯尼
11,花园式 古宅 改建 阁楼 阳光房
12,外滩 270 度大窗 江景 电梯 房
13,SuperviewQueenRoomatheartXinTianDi
14,SuperviewQueenRoomatheartXinTianDi
15,3d 观影 xbox 体感 游戏 xmii ™ 轻奢 文艺 大床 木屋 配地 暖 浴缸 厨房 衣帽间 景观 阳台 近 迪士尼
16,卿 山小筑 大隐于 市 梧桐树 下 老 上海 2 分钟 到 陕西 南路 站 淮海中路 地铁 1 站 达 南京 西 2 站 抵 外滩
17,new 宿 喵 居 回忆 纯白 木结构 老房 loft 江苏 路 静安寺 中山公园 2 号 11 号线 地铁 5 分钟
18,SiXANG 上海 外滩 大 空间 大 阳台 BVLGAR 同款 景观 超 美的 外滩 黄浦江 夜景 150 平
19,hipstudio 温馨 上海音乐学院 老洋房 离 地铁 5 分钟
20,上海 南京 西路 地铁口 老洋房 紧靠 人民广场 外滩 美签 静安寺 上海展览中心 静安寺 上海戏剧学院
21,上海 南京 西路 地铁口 老洋房 紧靠 人民广场 外滩 美签 静安寺 上海展览中心 静安寺 上海戏剧学院
22,玉兰 绍兴 路 百年 洋房 梧桐树 下 的 电影 小屋 近田子 坊 iapm 有 猫 可 撸
23,然舍 整套 温馨 loft7 号线 龙湖 宝山 天街 顾村 公园 上海大学 华山 北院 直达 静安寺
24,哈尔 的 移动 城堡 市中心 城市 木屋 年轮 时光 近 12101213 号线 地铁 巨富 长 时尚 圈
25,乐意 苏州河 Ⅱ 南京 西路 商圈 轻 法式 一居 投影 地铁 1012 号线 我存 了 七个 夜晚 的 月亮
26,乐意 苏州河 Ⅱ 南京 西路 商圈 轻 法式 一居 投影 地铁 1012 号线 我存 了 七个 夜晚 的 月亮
27,衡复 文化区 新天地 时尚 中心 近 地铁 1 分钟 上海 屋里 厢
28,衡复 文化区 新天地 时尚 中心 近 地铁 1 分钟 上海 屋里 厢
29,欢迎 长租 新天地 地铁 0 距离 墙 暖 高楼 采光 特棒
30,静安寺 花园 洋房 巨鹿路 HengfuCulturalDistrictcenter
31,玩偶 之家 27 号线 步行 可 达 毗邻 恒隆 广场 静安 嘉里 中心 南京 西路 网红 滑梯 民宿
32,嘉善 地铁口 近 衡山路 田子坊 新天地 DowntownConvenientTransportation
33,陆家嘴 侘 寂 禅 苑 三条 地铁 249 站 中间
34,维多利亚 风格 总统套房 南京 西路 地铁 5 分钟
35,苑溪 高端 loft 整套 ＋ 地铁站 ＋ 商圈 地铁 直达 机场 高铁 外滩 东方明珠 科技馆 可 寄存 行李 消毒 房
36,免费 接送 上海 迪士尼 十分钟 豪华 精装 两房两厅 整套 套房 公寓 地铁 直达 浦东 机场 外滩 东方明珠 南京路 带 厨房 可做饭
37,书 的 房 人民广场 地铁站 步行 209 米 123 平 两梯 两户 高端 公寓
38,书 的 房 人民广场 地铁站 步行 209 米 123 平 两梯 两户 高端 公寓
39,消毒 WhiteRoof 陕西 南路 黄埔 南京 西路 巨鹿路 屋塔 的 独立 小 世界 SingleRoom
40,月租 4800 毗邻 美国 签证处 Tiffany 少女 洋房 南京 西路 地铁站 21213 号线 步行 3 分钟
41,醒家 民宿 6134 黄金地段 私人 投影 影院 地铁 5 分钟 行李 寄存
42,百草 厅 提供 超大 免费 停车场 提供 特斯拉 充电 或 其他 品牌 的 充电 服务 至少 预订 一个月
43,延安 西路 定西路 老 上海 风情 洋房 里 的 简约 新居 近邻 上海戏剧学院 华东 医院 华山医院 中山公园 静安寺
44,静安区 南京 西路 太古 汇 法式 5 米 高挑 空间设计 上海 百年 保护 建筑 传统 石库门 古董 家具 花园式 住宅
45,醒家 民宿 1882 南京 西路 地铁 4 分钟 两卧 投影 影院 房
46,醒家 民宿 1882 南京 西路 地铁 4 分钟 两卧 投影 影院 房
47,Tequiero 近 静安寺 FCC 慵懒 洋房 时尚 地标 老 马路 100 米 常熟路 地铁站 双窗 交通 发达
48,地铁站 附近 的 空调 小房间 一张 床
49,地铁站 附近 的 空调 小房间 一张 床
50,地铁 零距离 双 地铁 静安寺 精品 一 户型 公寓
51,市中心 60 平米 智能家居 套房 曾经 旧 法国 租界 高档 民宿
52,长租 优惠 清白 之 年 の 独户 独卫 60 寸 影音 小屋 南京东路 人民广场 大悦 城 四行 仓库 曲阜 路 地铁
53,018HOUSE 欧罗巴 风情 房间 体验 老 上海 弄堂 温馨 舒适 地段 佳 靠近 南京 西路 地铁站
54,短住 三天 起订 一天 不 接近 市中心 景观 苏州河 高档 复式 loft 可住 5 人
55,短住 三天 起订 一天 不 接近 市中心 景观 苏州河 高档 复式 loft 可住 5 人
56,短租 优惠 淮海中路 地铁站 零距离 迪士尼 直达 90 年代 美式 休闲 风格 大屏幕 投影仪 舒适 温馨
57,短租 优惠 淮海中路 地铁站 零距离 迪士尼 直达 90 年代 美式 休闲 风格 大屏幕 投影仪 舒适 温馨
58,卿山 小院 8 分钟 到 南京 西路 站 巨鹿路 上 独门独院 可好 眠 一院 绿意 独立 影音 室 可观 影可 偷闲
59,法 租界 花园 老洋房 的 黄金 年代
60,Annie ' sSecretGarden 安妮 的 秘密 花园
61,醒家 民宿 1218 经典 石库门 私人 投影 影院 2 房 地铁 5 分钟 行李 寄存
62,百草堂 提供 超大 免费 停车场 提供 特斯拉 充电 或 其他 品牌 的 充电 服务 至少 预订 一个月
63,北欧 奢野 一居 YourHome 近 2 号线 中山公园 站 近 愚园 路 网络 电视 乳胶 床垫 羽绒被 整套 房源
64,温馨 小屋 榻榻米 地铁 七号 线 150 米 杨高 南路 站 丰盛 早餐 迪斯尼乐园 上海 新 国际博览 中心
65,高档 社区 近 陆家嘴 世纪 公园 高层 景观 房 地铁 426 号线 交通 方便
66,高档 社区 近 陆家嘴 世纪 公园 高层 景观 房 地铁 426 号线 交通 方便
67,Paris 静安寺 淮海中路 轻奢 撞色 梳妆台 100 米 地铁站 巨富 长老 马路 精致 生活气息 独用 一居
68,月租 优惠 新天地 环贸 复式 投影 双床 套房 临近 地铁站 淮海中路 临近 瑞金医院
69,一宿 出品 绮梦 韩式 简约 LOFT 近 松江 大学城 地铁站 万达 旁近 欢乐谷 泰晤士 佘山 可 月租
70,爱 干净 必住 有 地 暖 的 房间 朝语 夕颜 免费 接送 迪士尼 接机 地铁 早餐 北欧 荒原 庇护所 独立 卫生间
71,Loft 独立 二居二卫 亲子 短驳 车 地铁站 迪士尼 新 国展 张江 高科
72,老洋房 酒吧 美食 5CoLivingWith5minWalktoLine27
73,淮海路 地铁口 北欧 两室 公寓 长租 请 先 咨询
74,虹桥机场 虹桥 火车站 地铁 2 号线 国家 会展中心 虹桥 商务区 虹桥 世界 中心 国家 会计学院 舒心 公寓
75,original 距 迪士尼 机场 仅 20 分钟 车程 专车 地铁站 接送 北欧 极简 风格 精装 Loft 高 楼层 二居室
76,双 地铁 零距离 智能 门锁 自助 入住 市中心 高层 公寓 一室 户
77,极旅 老宅 新生 21213 号线 南京 西路 地铁站 淮海中路 露台 花园 温馨 舒适 一 居室 整租
78,意 之 公寓 中冶 祥腾店 11 号线 南翔 站 地铁 商场 上盖 复式 loft 公寓 地铁 直达 迪士尼 30 分钟 徐家汇
79,嘉善 路 地铁口 衡山路 田子坊 新天地 DowntownConvenienttransportation
80,嘉善 路 地铁口 衡山路 田子坊 新天地 DowntownConvenienttransportation
81,早安 上海 ! 毗邻 茑 屋 书店 地铁 1011 号 交通 大学 站 直达 虹桥 站 迪士尼 新天地 南京东路 城隍庙 !
82,早安 上海 ! 毗邻 茑 屋 书店 地铁 1011 号 交通 大学 站 直达 虹桥 站 迪士尼 新天地 南京东路 城隍庙 !
83,卡布奇诺 超大 双床 套房 玻璃 隔断 迪士尼 八分钟 接驳 高档 别墅区 靠 野生 动物园 地铁 11 号线 直达 市区
84,星期八 sunday 北外滩 全新 装修 智能 巨幕 江景 loft 独有 ps4pro 步行 外滩 5 分钟
85,香草 天空 幽静 天窗 大床 房 私密 空间 接送 迪士尼 含早 温泉 馆 地铁 直达 外滩 南京东路
86,优惠 八折 罗马 假日 迪士尼 八分钟 接驳 超大 落地 观景 浴缸 巨幕 投影 温泉 馆 地铁 直达 外滩 独栋 别墅
87,卡布奇诺 超大 双床 套房 玻璃 隔断 迪士尼 八分钟 接驳 高档 别墅区 靠 野生 动物园 地铁 11 号线 直达 市区
88,人生 如戏 静安寺 投影 百年 愚园 211 号线 地铁 步行 5 分钟 交通 便利 直达 迪士尼 独立 卫浴 一居
89,GeminiL 近田子 坊 步行 五分钟 新天地 步行 十分钟 北欧 极简 舒适 带 独立 厨房 浴室 客厅 整套 公寓
90,美式 月租 四千 七 134 号线 上海 火车站 15 分钟 人广 单间 卧室 只 接待 女生 30 天 起租
91,美式 月租 四千 七 134 号线 上海 火车站 15 分钟 人广 单间 卧室 只 接待 女生 30 天 起租
92,DEA 投影 房 七分钟 迪士尼 近邻 地铁站 野生 动物园 花海 ｢ 免费 早餐 不 限时 迪士尼 免费 接送 ｣
93,5 号 复兴 路上 的 绝美 艺术 公寓 冬日 暖气
94,电影 中 的 阁楼 彭于 晏 餐厅 旁 星空 下 的 世界
95,昔住 归 笙 34111314 五轨 地铁 步行 5 分钟 的 高层 公寓 环球 港 中山公园 47 平大 一房
96,昔住 归 笙 34111314 五轨 地铁 步行 5 分钟 的 高层 公寓 环球 港 中山公园 47 平大 一房
97,乐意 公社 法式 概念 洋房 租界 核心 地段 华山医院 五原 路 地铁 L17
98,自助 入住 外滩 高层 复试 银灰 调 步行 五分钟 到 外滩 近 步行街 城隍庙 东方明珠 迪士尼 地铁 直达 整租 寄存
99,自助 入住 外滩 高层 复试 银灰 调 步行 五分钟 到 外滩 近 步行街 城隍庙 东方明珠 迪士尼 地铁 直达 整租 寄存
100,海 上海 壹 外滩 边 拥有 壮阔 江景 高层 loft 公寓 muji 风格 极米 投影 近 地铁 l1012 号线
101,武 康路 长乐路 上音 上 戏 衡山路 淮海路 静安寺 日式 极简 弄堂 三层 复式 投影 市中心
102,归隐 2 天 优惠 起 私家花园 套房 直达 太古 里 新天地 迪士尼 淮海路 多轨 直达 超大 投影
103,与 白 复式 三床 两卫 ＋ 巨幕 影院 ＋ 地铁站 店 地铁 直达 机场 高铁 外滩 东方明珠
104,最具 性价比 市中心 整套 房 两张 单人床 TX 淮海 瑞金医院 5 分钟 漫步 思南 公馆 淮海路 位于 1 楼
105,百草园 提供 超大 免费 停车场 提供 特斯拉 充电 或 其他 品牌 的 充电 服务 至少 预订 一个月
106,欧阳 阳阳 Soleil — 花园 博物馆 私密 花园别墅 落地窗 直达 中山公园 迪士尼 紧邻 西岸 艺术 中心 上海 南站
107,虹馆 小筑 国家 会展中心 马路 对面 毗邻 虹桥机场 虹桥 火车站 地铁 二号线 徐泾 东站 精装 loft 公寓
108,虹馆 小筑 国家 会展中心 马路 对面 毗邻 虹桥机场 虹桥 火车站 地铁 二号线 徐泾 东站 精装 loft 公寓
109,jessie 的 家近 静安寺 大 阳台 超棒 采光 舒适 大主卧 网红 酒吧 聚集地 交通 发达 生活 便利 猫 去 旅行 了
110,柚子 家 可爱 ins 风 迪士尼 3 站 新 国展 地铁 房 野生 动物园 海昌 公园 近 整套 loft 公寓 奕 欧来
111,黄浦 淮海中路 温馨 小屋
112,南京 西路 工业 设计师 家 的 独立 单间 CitycenterdesignerApt
113,静 泰晤士 小宅 9 号线 松江 大学城 站 五分钟 万达 CBD 景观 河畔 榻榻米 浪漫 体验
114,静 泰晤士 小宅 9 号线 松江 大学城 站 五分钟 万达 CBD 景观 河畔 榻榻米 浪漫 体验
115,南京 西路 工业 设计师 家 的 独立 单间 CitycenterdesignerApt
116,可长 租 BarHome 夏日 小 酒廊 带 阳台 近 茑 屋 书店 交通 大学 站 直达 新天地 南京东路 迪士尼
117,黑白 简约 风 市中心 长寿路 江宁路 地铁站 近 南京 西路 静安寺 上海站 万代 南梦宫 m50
118,舒心 阁
119,月租 特惠 大 沪 人家 衡复 文化区 复古 浪漫 阁楼 带 阳台 永康 路近 陕西 南路 地铁 11012 号线
120,月租 特惠 大 沪 人家 衡复 文化区 复古 浪漫 阁楼 带 阳台 永康 路近 陕西 南路 地铁 11012 号线
121,自助 入住 外滩 高层 复式 地中海 步行 五分钟 到 外滩 近 步行街 城隍庙 东方明珠 迪士尼 地铁 直达 整租 寄存
122,新天地 高层 公寓 带飘窗 俯瞰 上海 夜景 的 温馨 房间 日常 消毒
123,10 号线 同济大学 地铁口 有 烟火 气息 的 城中 温馨 小屋
124,xmii 前滩 270 度 视野 景观 loft 魔术 空间 百寸 投影 私藏 片库 ＋ xbox 游戏机 上下 双卫 开放 厨房
125,奈屋 近 市中心 静安 轨交 134 号 全 沪 直达
126,奈屋 近 市中心 静安 轨交 134 号 全 沪 直达
127,魔 都 工业 风 景观 loft1 情调 浴缸 2 卫 3d 片库 4k 投影 51 环绕 xbox 进前 滩 太古 里
128,Gaston202 近 陕西 南路 淮海中路 apm 永康 路 复古 海派 法式 洋房
129,可可 家 新天地 交通 最 便利 老 上海 风情 新里 卧房
130,乐意 公社 中山公园 秋叶 源 原木 雅白 朝南 两房一厅 长宁 来福士 别 让 我 飞 将 我 温柔 豢养
131,WelcometoCCWorld 温馨 舒适 的 复式 小 公寓 临近 地铁 9 号九亭 站
132,墨竹 高端 Loft 三床 两卫 ＋ 巨幕 投影 ＋ 地铁站 ＋ 商圈 ＋ 地铁 直达 机场 高铁 外滩 东方明珠 寄存 行李
133,墨竹 高端 Loft 三床 两卫 ＋ 巨幕 投影 ＋ 地铁站 ＋ 商圈 ＋ 地铁 直达 机场 高铁 外滩 东方明珠 寄存 行李
134,上善 居 崇明岛 精品 特色 民宿 五星 推荐
135,秋野居 外滩 步行 5 分钟 和 风 迷你 小包 间 投影 房
136,欧阳 阳阳 Soleil — 小小 花园 投影仪 花园别墅 落地窗 直达 中山公园 迪士尼 紧邻 西岸 艺术 中心 上海 南
137,浪漫 日式 简约 影院 级 投影 厨房设备 一应俱全 适合 情侣 及 家庭 713 号线 长寿路 站 市中心 交通 便利
138,5 🌟 超赞 房东 FFC 性价比 最高 的 整套 独用 小 公寓 — 5 分钟 漫步 法 租界 瑞金医院 思南 公馆 TX 淮海
139,梦寐 梦幻 ins 风 温馨 空间 带 独立 卫生间 靠近 地铁 5 号线 颛桥 站
140,新天地 豫园 人广 810 号线 地铁 零距离 绝佳 视野 温馨 独卫带 阳台 超大 主 卧房 间 日常 消毒
141,愚园 路上 的 花园 洋房 步行 江苏 路 地铁站 2 分钟 设计师 的 家
142,北欧 风 市中心 长寿路 江宁路 地铁站 近 南京 西路 静安寺 上海站 万代 南梦宫 m50
143,巴塞罗那 超赞 房东 浦东 世纪 大道 紧邻 2 号线 东昌路 三分钟 可 达 温馨 大床 房
144,< PROVENCE > 15 天 起租 衡复 文化 中心 武 康路 五原 路 老洋房 带 露台 上海图书馆 站 常熟路 站
145,FUJ 居 虹桥 火车站 虹桥机场 国家 会展中心 墙 暖 三房 地铁 可 达 人民广场 新天地 迪士尼 南京路
146,薄荷 民宿 近 迪士尼 浦东 机场 复古 轻奢 整套 别墅 5 卧 5 卫 提供 麻将桌
147,MeToohome 黄埔 中心 五原 路 乌鲁木齐 中路 路口 紧临 地铁站 的 舒适 温馨 北欧 风 民宿
148,勿 闪定 预定 先 咨询 同济 复旦 财经 五角场 商圈 地铁 出来 三分钟 求职 考研 旅行 短住
149,a 上海 独栋 雅苑 aa 游泳池 地暖 儿童 游乐 房包栋 免费 接送 迪士尼 浦东 机场 川沙 地铁站
150,New 宿 喵 居 布朗 尼 幕布 投影 环贸 APM 巨鹿路 茂名 路 南京 西路 静安寺 1KM 地铁 5M
151,静安寺 上海展览中心 人民广场 南京路 美 领馆 淮海路 外滩 地铁 1271213 复式 两居室 直达 机场 火车站
152,静安寺 上海展览中心 人民广场 南京路 美 领馆 淮海路 外滩 地铁 1271213 复式 两居室 直达 机场 火车站
153,欧阳 阳阳 Soleil — 日式 榻榻米 私密 花园别墅 直达 中山公园 迪士尼 紧邻 西岸 艺术 中心 上海 南站
154,时光 复式 整套 近 地铁站 巨幕 投影 地铁 直达 机场 高铁 外滩 东方明珠 迪士尼 最近 商圈 行李 寄存
155,糖纸 老洋房 内 舒适 一 居室 布满 法国梧桐 的 文艺 街道
156,糖纸 老洋房 内 舒适 一 居室 布满 法国梧桐 的 文艺 街道
157,糙悦 性冷淡 水泥 工业 风 loft 带 独立 卫生间
158,4032 徐家汇 区域 地铁站 150 米 内 电梯 公寓 超大 阳光 阳台 日 月光 300 米 内 光大 会展中心 400 米
159,4032 徐家汇 区域 地铁站 150 米 内 电梯 公寓 超大 阳光 阳台 日 月光 300 米 内 光大 会展中心 400 米
160,梦压 星河 星空 顶 露台 巨幕 投影 泡浴 写真 含早 迪士尼 接送 近 211 号 地铁 直达 东方明珠
161,New7 号 武康 路上 绝美 艺术 公寓
162,木屋 Loft 可接 拍摄 月租 75K2 晚 9 折 花园 洋房 近武 康路 上海图书馆
163,jojo ‘ s 淮海路 新天地 外滩 私人 影院 loft 老洋房 3 分钟 地铁
164,Nice 怀旧 距离 外滩 200 米 南京东路 地铁口 10 分钟 历史 优秀 建筑 内 全新 装修 一室 公寓 巨幕 投影
165,HillsBoutique 小丘 民宿 云南 套房 老 弄堂 里 的 露台 民宿 2 房 1 卫 2 号线 7 号线
166,HillsBoutique 小丘 民宿 云南 套房 老 弄堂 里 的 露台 民宿 2 房 1 卫 2 号线 7 号线
167,绘 时光 复式 巨幕 投影 近 地铁站 ＋ 地铁 直达 机场 高铁 站 近 野生 动物园 地铁 直达 科技馆 外滩 城隍庙
168,和 风雅 居 日式 LOFT 南京东路 外滩 艺术馆 外滩 大丸 百货 地铁 10 号线 地铁 2 号线 200M
169,潇婵 的 别墅 浪漫 满屋 松江 欢乐谷 佘山 大学城 地铁站 附近 广富林 遗址 公园 泰晤士 小镇 情侣 闺蜜 大屏 投影
170,马赛 庄园 法式 loft 可住 四人 陕西 南路 地铁站 350 米 近 思南 公馆 音乐学院 ipam 可做饭
171,静安寺 沿街 法式 洋房 小 两层 市中心 核心 地段 带 投影 音箱 loft 近上 戏 myst 上海展览中心
172,布雷 卫 阳光 露台 观景 情侣 浪漫 大床 房 迪士尼 八分钟 接驳 高档 别墅区 靠 野生 动物园 地铁 11 号线 直达 市区
173,徐家汇 城市 风景 房 CityViewRoom
174,知黑 明白 k11 人民广场 新天地 淮海中路 市中心 近多 地铁 高清 投影 设计师 出品 超简 loft 一居
175,长租 优惠 清新 ins 风 直达 外滩 迪士尼 虹桥机场 城隍庙 武康 路上 戏 地铁 1011 号线 温馨 一室
176,阑马 当路 素雅 两房 毗邻 地铁 新天地 田子坊 外滩 南京东路
177,阑马 当路 素雅 两房 毗邻 地铁 新天地 田子坊 外滩 南京东路
178,LuLu 家 一间 地铁 2 \ 11 号线 零距离 南京路 静安寺 上戏 外滩 人广 迪斯尼 直达
179,LuLu 家 一间 地铁 2 \ 11 号线 零距离 南京路 静安寺 上戏 外滩 人广 迪斯尼 直达
180,乐意 公社 可 月租 中山公园 秋叶 源 原木 雅白 朝南 两房一厅 长宁 来福士 别 让 我 飞 将 我 温柔 豢养
181,乐意 公社 可 月租 中山公园 秋叶 源 原木 雅白 朝南 两房一厅 长宁 来福士 别 让 我 飞 将 我 温柔 豢养
182,夏天 的 风 新天地 旁 淮海中路 魔 都 时尚 地标 200 米 地铁站 旁 暖色 小屋 整洁 一居
183,招长 租 HistoricnstylishLOFT 东京大学 设计师 交通 无敌 淮海路 武 康路 思南路
184,乌鲁木齐 路 小屋 UrumqiRoadHouse 温馨 小屋 网红店 云集 巨富 长 地铁 1107
185,带 院子 的 民宿 新华路 花园 洋房 东华大学 延安路 校区 机场 地铁 直达 桂花 蓝 雪花 清静 幽美 澜沁 Garden
186,徐汇 上海 南站 静谧 宿舍 OnequietbunkbedbesidesXuhui
187,Nous 麓 眠 森鹿 圣托 里尼 洞穴 风全 电动 天窗 大面积 阳光房 造型 浴缸 卡座 悬空 床 浪漫 情调 异域 风情 房网 红 情侣
188,月租 75 折 静安寺 南京 西路 长乐路 loft 带 100 寸大 投影 情侣 首选 温馨 小窝
189,月租 75 折 静安寺 南京 西路 长乐路 loft 带 100 寸大 投影 情侣 首选 温馨 小窝
190,整套 一室 一厅 步行 1 分钟 到达 349 号线 宜山路 站 近 徐家汇 万体馆 中山公园 一楼 不用 爬楼梯
191,浮点 拾憶 景区 中心 独栋 临河 早餐 拿铁手 冲茶 温暖 总是 都 在
192,浮点 拾憶 景区 中心 独栋 临河 早餐 拿铁手 冲茶 温暖 总是 都 在
193,香草 浪漫 情侣 大床 房赠 双早 迪士尼 接送 私人 管家 服务 近 野生 动物园
194,nous 麓 眠 白棠 超大 拱形 落地窗 庭院 泳池 景观 悬空 床网 红 别墅 情侣 约会 闺蜜 拍照 打卡 地含 迪士尼 接 或 送
195,一宿 出品 ۞ 琴心 黑白 艺术 视觉 空间 万达 广场 旁邻 地铁 欢乐谷 泰晤士 辰山 植物园 玛雅 可 月租
196,Comfyloftallyouneed 邻近 外滩 新天地 人民 广場 地铁 一 二号线
197,Comfyloftallyouneed 邻近 外滩 新天地 人民 广場 地铁 一 二号线
198,秋实 市中心 人民广场 地铁站 200 米 电梯 大三 居 步行 南京路 外滩 自然 博物馆 美食街
199,温馨 舒适 的 小屋
